,title,year,rating,votes
45818,My Husband's Double Life,2018,4.7,167
45819,Highway Dragnet,1954,6.3,506
45820,Bluebeard,1972,5.7,"1,134"
45821,Hobgoblins,1988,2.3,"10,309"
45822,Contracted,2013,5.3,"13,935"
45823,The Sandpiper,1965,6.3,"2,801"
45824,Battleground,1949,7.4,"6,379"
45825,The Hollow Point,2016,5.4,"5,230"
45826,Kamasutra 3D,2013,6.4,380
45827,The Pallbearer,1996,4.9,"7,593"
45828,Jackie & Ryan,2014,5.8,"3,554"
45829,School for Scoundrels,2006,5.9,"28,523"
45830,Reclaim,2014,5.2,"5,784"
45831,Vigilante Diaries,2016,5.6,"4,310"
45832,Bad Company,1972,7.0,"3,518"
45833,Soul Survivors,2001,3.9,"8,146"
45834,King of the Gypsies,1978,6.3,"1,045"
45835,Forever Strong,2008,7.2,"10,022"
45836,"Ladies and Gentlemen, the Fabulous Stains",1982,6.8,"2,333"
45837,Mary Reilly,1996,5.8,"13,757"
45838,The Invisible Man,2017,3.2,154
45839,The January Man,1989,5.6,"6,131"
45840,Tape,2001,7.3,"18,380"
45841,The Border,1982,6.4,"5,720"
45842,The Drone,2019,5.4,"1,221"
45843,Nobody Knows Anything!,2003,3.2,531
45844,Change of Habit,1969,6.1,"1,999"
45845,Chain Letter,2009,4.1,"5,003"
45846,Rob the Mob,2014,6.3,"10,526"
45847,The Glenn Miller Story,1954,7.3,"7,703"
45848,The Gumball Rally,1976,6.3,"3,562"
45849,Smiley,2012,3.4,"8,327"
45850,Love and Honor,2013,5.7,"8,803"
45851,Ziegfeld Follies,1945,6.5,"2,790"
45852,Welcome to Collinwood,2002,6.4,"13,976"
45853,Brain Dead,1990,6.0,"3,644"
45854,Under the Eiffel Tower,2018,5.2,616
45855,Shanghai,2010,6.4,"9,024"
45856,Telefon,1977,6.6,"4,919"
45857,Dodsworth,1936,7.8,"7,763"
45858,Age Out,2018,6.0,486
45859,Double Down,2005,4.5,"2,412"
45860,Fun and Fancy Free,1947,6.6,"6,614"
45861,Stacey,1973,5.3,155
45862,Violent Saturday,1955,6.9,"1,962"
45863,Home for the Holidays,1995,6.6,"11,496"
45864,Pride and Prejudice,1940,7.4,"7,120"
45865,Winter Break,2003,5.0,"1,208"
45866,The Rain People,1969,6.8,"2,786"
45867,King of the Hill,1993,7.4,"7,296"
45868,The Apple,1980,4.3,"1,899"
45869,Septembers of Shiraz,2015,6.1,"3,666"
45870,Ivanhoe,1952,6.8,"7,859"
45871,Being,2019,3.1,91
45872,Year of the Gun,1991,5.6,"2,316"
45873,A Christmas Prince: The Royal Baby,2019,5.3,"3,693"
45874,Love Nest,1951,6.2,"1,086"
45875,Teachers,1984,6.1,"3,761"
45876,Downrange,2017,5.4,"4,203"
45877,Jack the Giant Killer,1962,6.4,"2,145"
45878,The Crimson Kimono,1959,6.9,"2,270"
45879,The Mack,1973,6.7,"2,569"
45880,Made in Heaven,1987,6.5,"3,042"
45881,The Bachelors,2017,6.8,"3,623"
45882,A Girl Like Her,2015,7.0,"6,605"
45883,Phoenix the Warrior,1988,3.8,713
45884,Dying for Motherhood,2020,5.6,90
45885,Flesh-Eating Mothers,1988,4.3,823
45886,Two Girls and a Guy,1997,5.5,"6,703"
45887,Brake,2012,6.1,"11,261"
45888,8 Days,2014,4.6,147
45889,Extremities,1986,6.3,"3,285"
45890,The Moth Diaries,2011,4.9,"6,209"
45891,Portal,2019,3.7,240
45892,Catch .44,2011,4.6,"16,403"
45893,The Adventure of Sherlock Holmes' Smarter Brother,1975,6.1,"6,059"
45894,"Spider Baby or, the Maddest Story Ever Told",1967,6.9,"5,872"
45895,Ernest Scared Stupid,1991,5.8,"10,371"
45896,Pit and the Pendulum,1961,7.1,"12,102"
45897,Mr. Destiny,1990,6.4,"11,271"
45898,Walking with Dinosaurs 3D,2013,5.2,"10,462"
45899,A Night in Heaven,1983,4.3,"1,155"
45900,Kickin' It Old Skool,2007,4.6,"6,748"
45901,1st Born,2018,3.3,162
45902,Interpreters: a C & Earth Chronicle - quantum 1,2019,3.8,71
45903,Women in Cages,1971,5.0,"1,278"
45904,The Phantom of the Opera,1989,5.5,"3,595"
45905,The Face of an Angel,2014,4.6,"4,479"
45906,Sleeping with My Student,2019,4.6,241
45907,X-Ray,1981,5.1,"1,934"
45908,Old Enough,1984,6.5,556
45909,The Boys Next Door,1985,6.4,"2,499"
45910,The Ghost and Mr. Chicken,1966,7.3,"5,587"
45911,Swelter,2014,4.5,"2,727"
45912,Stagecoach,1966,6.1,"1,508"
45913,High Sierra,1941,7.5,"14,440"
45914,Before the Dawn,2019,5.9,322
45915,Veronika Decides to Die,2009,6.4,"11,933"
45916,Goodland,2017,5.1,343
45917,Bob Roberts,1992,7.0,"12,901"
45918,Heavy Traffic,1973,6.6,"2,787"
45919,Twelve O'Clock High,1949,7.7,"11,875"
45920,Love,2011,5.5,"8,433"
45921,The House of Mirth,2000,7.0,"7,003"
45922,Wrecked,2010,5.3,"14,744"
45923,The Bride,1985,5.3,"2,813"
45924,All You Can Eat,2018,5.5,36
45925,Penny Serenade,1941,7.1,"6,023"
45926,Son of God,2014,5.7,"18,103"
45927,Lady Godiva of Coventry,1955,5.7,448
45928,Blush,2019,4.4,206
45929,The Bachelor,1999,5.0,"16,360"
45930,Electra Glide in Blue,1973,7.2,"4,613"
45931,Those People,2015,6.5,"5,293"
45932,The Favor,1994,5.2,"2,526"
45933,To Be or Not to Be,1983,6.9,"9,916"
45934,Talk to Me,2007,7.3,"9,314"
45935,Nickelodeon,1976,6.3,"1,993"
45936,M,1951,6.8,"1,649"
45937,Imitation of Life,1934,7.5,"3,964"
45938,Mom and Dad Save the World,1992,5.4,"4,273"
45939,Dead Space,1991,3.3,821
45940,The Truth,2010,4.7,"1,110"
45941,All Good Things,2019,4.9,76
45942,The Loss of a Teardrop Diamond,2008,5.8,"2,374"
45943,Summertime,1955,7.2,"7,328"
45944,Modern Problems,1981,5.1,"4,750"
45945,Cecil B. Demented,2000,6.3,"13,283"
45946,Touchy Feely,2013,5.3,"3,476"
45947,It Stains the Sands Red,2016,5.5,"4,197"
45948,The Myth of the American Sleepover,2010,6.3,"3,790"
45949,Fire with Fire,1986,6.6,"1,448"
45950,Bang the Drum Slowly,1973,6.9,"5,193"
45951,The Iron Orchard,2018,5.6,202
45952,After Dark,2013,4.1,173
45953,Gook,2017,7.0,"2,140"
45954,Steel Dawn,1987,5.2,"4,480"
45955,Malibu Rescue,2019,4.7,712
45956,Marlowe,1969,6.4,"2,992"
45957,Music of the Heart,1999,6.8,"11,666"
45958,Boychoir,2014,6.7,"6,187"
45959,The Distinguished Gentleman,1992,5.9,"14,845"
45960,From Zero to I Love You,2019,5.8,228
45961,The Detective,1968,6.5,"2,801"
45962,Bad Biology,2008,4.7,"3,839"
45963,Social Animals,2018,5.2,"1,520"
45964,The Foot Fist Way,2006,6.3,"11,189"
45965,Age of Summer,2018,5.4,551
45966,"Murder, Inc.",1960,6.6,"1,207"
45967,Posse,1993,5.5,"3,868"
45968,The Signal,2007,6.0,"20,100"
45969,P.S.,2004,6.1,"5,882"
45970,Hoodwinked Too! Hood vs. Evil,2011,4.7,"11,861"
45971,Little Fauss and Big Halsy,1970,6.0,"1,016"
45972,Moving,1988,6.2,"4,961"
45973,100 Feet,2008,5.5,"11,843"
45974,Elegy,2008,6.7,"21,567"
45975,The Great Buck Howard,2008,6.4,"13,303"
45976,Under the Same Moon,2007,7.3,"6,478"
45977,Robin Hood,1991,5.7,"4,533"
45978,Cop & ½,1993,4.1,"8,076"
45979,Ulzana's Raid,1972,7.0,"4,951"
45980,Oblivion,1994,5.1,"1,109"
45981,Take the 10,2017,4.7,"2,614"
45982,Flirting with Madness,2015,5.7,644
45983,Marooned,1969,5.9,"4,484"
45984,The Funhouse Massacre,2015,5.2,"3,161"
45985,Gold Diggers: The Secret of Bear Mountain,1995,6.0,"3,987"
45986,American Wisper,2020,8.1,361
45987,The Other,1972,6.9,"5,408"
45988,Babysitter Wanted,2008,5.4,"7,072"
45989,The Book of Love,2016,6.0,"3,690"
45990,The Razor's Edge,1984,6.6,"4,850"
45991,Hurricane Bianca: From Russia with Hate,2018,4.7,"2,059"
45992,Blue City,1986,4.4,961
45993,The Unseen,1980,5.3,"1,451"
45994,Train,2008,4.7,"5,815"
45995,Benjamin,2019,3.3,329
45996,They Were Expendable,1945,7.2,"7,316"
45997,Jet Pilot,1957,5.7,"2,082"
45998,The Country Girl,1954,7.3,"5,202"
45999,Alex & The List,2017,4.6,"1,026"
46000,Snow Falling on Cedars,1999,6.7,"13,497"
46001,Little Caesar,1931,7.3,"11,581"
46002,Coming Soon,1999,4.5,"1,528"
46003,The Snows of Kilimanjaro,1952,6.2,"4,497"
46004,Sea Devils,1937,5.8,153
46005,Monster in the Closet,1986,4.9,"2,308"
46006,The Woman in Green,1945,6.7,"5,238"
46007,Cabin Fever 2: Spring Fever,2009,4.3,"12,589"
46008,The Twelve Chairs,1970,6.5,"5,593"
46009,Mrs. Henderson Presents,2005,7.0,"14,919"
46010,Golden Exits,2017,5.8,"1,813"
46011,Eliminators,2016,5.5,"3,507"
46012,Teenage Girl: First Wheels,2020,9.4,15
46013,The Candidate,1972,7.0,"9,422"
46014,The Male Animal,1942,6.6,"1,081"
46015,"Sorry, Wrong Number",1948,7.4,"9,287"
46016,Closing the Ring,2007,6.5,"4,285"
46017,The Incredible Journey,1963,7.1,"3,810"
46018,Annie Get Your Gun,1950,6.9,"4,251"
46019,Black Robe,1991,7.1,"6,136"
46020,Punishment Park,1971,7.8,"5,940"
46021,Punchline,1988,5.9,"7,798"
46022,Gas Food Lodging,1992,6.7,"3,365"
46023,A Late Quartet,2012,7.1,"13,568"
46024,The Sleeping Dictionary,2003,6.6,"7,986"
46025,The Evening Star,1996,5.9,"4,112"
46026,Haunting on Fraternity Row,2018,3.8,800
46027,976-EVIL,1988,5.2,"4,543"
46028,Vice Squad,1982,6.5,"1,831"
46029,Sand Sharks,2012,2.6,"4,655"
46030,Man of La Mancha,1972,6.6,"3,757"
46031,The Hallelujah Trail,1965,6.6,"3,325"
46032,The Jazz Singer,1980,5.9,"3,734"
46033,.45,2006,5.6,"7,945"
46034,Let It Ride,1989,6.8,"4,988"
46035,My Life,1993,6.8,"10,258"
46036,Not of This Earth,1988,4.8,"2,086"
46037,Adult Beginners,2014,5.6,"7,949"
46038,Salomé,2013,6.5,"1,610"
46039,Stripped to Kill,1987,4.9,"1,023"
46040,Kickboxer 4: The Aggressor,1994,4.0,"3,064"
46041,Limbo,2019,4.8,260
46042,New Life,2016,5.9,691
46043,All Creatures Here Below,2018,5.5,619
46044,The Four Seasons,1981,6.9,"3,845"
46045,It Happened on Fifth Avenue,1947,7.7,"3,305"
46046,The Silencers,1966,6.1,"2,566"
46047,How to Beat the High Cost of Living,1980,6.1,"1,249"
46048,Satan's Little Helper,2004,5.3,"5,556"
46049,Ashby,2015,6.4,"14,381"
46050,Fraternity Vacation,1985,5.2,"2,087"
46051,Come Sunday,2018,5.9,"1,835"
46052,The Lost Continent,1968,5.7,"1,639"
46053,The Cure,1995,7.7,"8,995"
46054,They Call Me Mister Tibbs!,1970,6.1,"3,107"
46055,The Air I Breathe,2007,6.8,"33,188"
46056,Prodigy,2017,6.0,"4,770"
46057,Undrafted,2016,6.4,"1,140"
46058,Shadows,1958,7.3,"9,794"
46059,Freedom,2014,6.3,"1,652"
46060,Scream Blacula Scream,1973,5.7,"2,181"
46061,Doctor Detroit,1983,5.3,"5,208"
46062,Slumber,2017,4.7,"3,500"
46063,Sleight,2016,5.9,"7,589"
46064,Dangerous,1935,7.0,"2,712"
46065,Meadowland,2015,5.8,"3,639"
46066,The Patriot,1998,4.2,"11,529"
46067,True Stories,1986,7.2,"5,458"
46068,Orgy of the Dead,1965,3.0,"2,427"
46069,The Garbage Pail Kids Movie,1987,2.6,"7,294"
46070,Haunted Honeymoon,1986,5.7,"6,538"
46071,The Living End,1992,6.5,"2,553"
46072,The Factory,2012,5.8,"10,363"
46073,Where the Day Takes You,1992,6.6,"3,086"
46074,Bones,2001,4.1,"6,483"
46075,Peeper,1975,5.8,584
46076,3 Generations,2015,5.9,"5,640"
46077,Once Upon a Forest,1993,6.5,"4,881"
46078,Cannery Row,1982,6.7,"3,256"
46079,Boulevard,2014,5.8,"7,886"
46080,"Love, Kennedy",2017,6.4,392
46081,Deadcon,2019,2.8,829
46082,Blood Brother,2018,4.3,666
46083,Jane Eyre,1943,7.5,"7,648"
46084,Don't Run,2019,5.3,136
46085,The Shape of Things,2003,6.7,"10,776"
46086,Clean and Sober,1988,6.7,"5,454"
46087,Suspect Zero,2004,5.8,"18,603"
46088,The Untold Story,2019,5.3,280
46089,Mausoleum,1983,5.1,"1,657"
46090,Loch Ness,1996,5.5,"4,037"
46091,The Ex,2006,5.5,"16,592"
46092,The World of Suzie Wong,1960,7.1,"2,106"
46093,Bonnie's Kids,1972,6.1,657
46094,A Dry White Season,1989,7.0,"4,835"
46095,Masquerade,1988,6.0,"3,207"
46096,Deep Throat Part II,1974,4.1,461
46097,The Liberation of L.B. Jones,1970,6.8,659
46098,Return of the Seven,1966,5.5,"3,626"
46099,Another Stakeout,1993,5.6,"12,780"
46100,Payback,1995,5.8,675
46101,Warning Shot,2018,5.1,"1,065"
46102,National Velvet,1944,7.3,"6,207"
46103,The Razor's Edge,1946,7.4,"5,176"
46104,Big Bad Mama II,1987,4.8,720
46105,Brigadoon,1954,6.8,"7,315"
46106,Joyful Noise,2012,5.7,"7,785"
46107,Avenging Angelo,2002,5.2,"8,466"
46108,The Last Broadcast,1998,5.3,"4,683"
46109,The Three Faces of Eve,1957,7.2,"7,002"
46110,High School,2010,5.8,"7,244"
46111,The Fox Hunter,2020,4.4,14
46112,Finding Bliss,2009,5.3,"2,352"
46113,Beyond the Poseidon Adventure,1979,4.7,"4,623"
46114,A Thin Line Between Love and Hate,1996,5.7,"4,193"
46115,Invasion of Astro-Monster,1965,6.4,"5,008"
46116,O Lucky Man!,1973,7.7,"7,373"
46117,Charly,1968,7.0,"6,042"
46118,Curvature,2017,4.8,"1,601"
46119,What Maisie Knew,2012,7.4,"26,321"
46120,Altitude,2017,4.0,"2,945"
46121,City Island,2009,7.4,"30,210"
46122,Messiah of Evil,1973,6.4,"2,929"
46123,Authors Anonymous,2014,4.3,"2,004"
46124,The Spirit of St. Louis,1957,7.2,"7,053"
46125,Betsy's Wedding,1990,5.6,"3,317"
46126,Terminal Velocity,1994,5.5,"12,537"
46127,Our Time,2018,6.9,"1,242"
46128,Lottery Ticket,2010,5.0,"10,306"
46129,Winter Kills,1979,6.1,"2,193"
46130,I Wake Up Screaming,1941,7.2,"3,842"
46131,Veronica Guerin,2003,6.9,"18,772"
46132,Long Lost,2018,5.0,952
46133,H.O.T.S.,1979,4.6,"1,656"
46134,Not Cinderella's Type,2018,6.1,"1,793"
46135,Only Mine,2019,4.7,971
46136,The Take,2007,5.8,"2,159"
46137,The Secret Garden,2017,5.1,81
46138,Jimi: All Is by My Side,2013,5.7,"6,117"
46139,Another Day in Paradise,1998,6.5,"8,145"
46140,Another Version of You,2018,5.6,253
46141,Tough Guys,1986,6.3,"6,383"
46142,Wanda Nevada,1979,5.6,"1,122"
46143,Christopher Columbus: The Discovery,1992,4.5,"2,726"
46144,So Fine,1981,5.1,988
46145,The Late Bloomer,2016,5.2,"7,567"
46146,The Son of No One,2011,5.1,"16,235"
46147,Rocket Science,2007,6.6,"12,792"
46148,The Killer Elite,1975,6.0,"5,323"
46149,Girlfight,2000,6.7,"9,209"
46150,The Perfect Weapon,1991,6.0,"3,481"
46151,Fair Haven,2016,6.7,"1,754"
46152,Nightbeast,1982,4.0,"1,328"
46153,The Longshots,2008,5.4,"3,791"
46154,Survival of the Dead,2009,4.9,"19,953"
46155,Mercenaries,2014,3.7,"2,225"
46156,Dead Rising: Endgame,2016,4.8,"2,573"
46157,Lockdown,2000,6.2,"2,369"
46158,Tom Sawyer & Huckleberry Finn,2014,5.2,772
46159,Tell Me How I Die,2016,5.0,"4,184"
46160,The Cheyenne Social Club,1970,6.9,"3,932"
46161,Wing Commander,1999,4.3,"15,922"
46162,Alice in Wonderland,1933,6.4,"1,827"
46163,The Place of No Words,2019,6.4,46
46164,Anesthesia,2015,6.1,"4,180"
46165,Big Wednesday,1978,7.2,"5,858"
46166,The Wings of Eagles,1957,6.7,"3,651"
46167,The Mephisto Waltz,1971,6.0,"2,213"
46168,O.G.,2018,6.2,"1,961"
46169,Thumper,2017,5.8,"2,609"
46170,Sorceress,1995,3.8,829
46171,Last Ferry,2019,6.4,"1,619"
46172,Run the Race,2018,6.0,"1,176"
46173,Without Limits,1998,7.2,"6,448"
46174,Buying the Cow,2002,5.9,"6,593"
46175,"Stockholm, Pennsylvania",2015,6.0,"2,005"
46176,An Angel at My Table,1990,7.5,"6,400"
46177,Gor,1987,3.3,"1,627"
46178,The Butcher's Wife,1991,5.4,"6,452"
46179,House of Usher,1960,7.0,"11,432"
46180,Five Children and It,2004,5.5,"4,834"
46181,Pledge This!,2006,1.8,"16,706"
46182,Gunsmoke in Tucson,1958,5.7,116
46183,40 Carats,1973,6.4,610
46184,Slice,2018,4.5,"2,516"
46185,Smartass,2017,4.6,519
46186,The Train Robbers,1973,6.5,"5,107"
46187,The Matador,2005,6.7,"43,360"
46188,Deal of the Century,1983,4.7,"3,471"
46189,Obsession,2019,4.8,302
46190,Virginia,2010,5.4,"1,925"
46191,Evening,2007,6.5,"12,828"
46192,Murphy's Law,1986,6.0,"4,610"
46193,The Devil You Know,2013,3.4,"1,579"
46194,The Den,2013,6.0,"12,818"
46195,Ra.One,2011,4.6,"37,093"
46196,Attrition,2018,4.2,698
46197,Candy Jar,2018,5.8,"4,008"
46198,Meteor,1979,5.0,"6,410"
46199,Beautiful Girl,2014,4.6,319
46200,The Hand,1981,5.5,"5,365"
46201,Deep Dark,2015,5.0,"2,068"
46202,I Trapped the Devil,2019,4.8,"1,839"
46203,"Murder, My Sweet",1944,7.6,"11,570"
46204,Leap of Faith,1992,6.1,"11,896"
46205,Family Business,1989,5.7,"11,632"
46206,The Ugly Dachshund,1966,6.7,"3,364"
46207,V/H/S Viral,2014,4.2,"14,654"
46208,Moving Violations,1985,5.8,"3,625"
46209,Don't Make Waves,1967,6.1,"1,271"
46210,A Guy Thing,2003,5.6,"16,334"
46211,Do You Believe?,2015,6.1,"6,914"
46212,A Better Life,2011,7.2,"15,027"
46213,Devil's Canyon,1953,5.2,322
46214,In-Lawfully Yours,2016,5.8,"1,640"
46215,Blood Feast,1963,5.1,"5,684"
46216,Beyond Re-Animator,2003,5.9,"10,779"
46217,The Cimarron Kid,1952,6.4,809
46218,Bedeviled,2016,4.2,"2,735"
46219,Children of the Corn II: The Final Sacrifice,1992,4.3,"7,427"
46220,The Honeymoon Killers,1970,7.0,"4,244"
46221,Nanny Cam,2014,5.4,"1,274"
46222,A Midsummer Night's Dream,2014,7.2,200
46223,Ride in the Whirlwind,1966,6.5,"3,011"
46224,Do or Die,1991,4.0,831
46225,All I Wish,2017,5.1,"1,167"
46226,Roxanne Roxanne,2017,6.2,"2,554"
46227,The Last Avatar,2014,4.6,70
46228,The Night Sitter,2018,4.8,698
46229,See You Soon,2019,5.1,522
46230,Assassination,1987,5.2,"2,815"
46231,Mystery Team,2009,6.7,"8,684"
46232,Where the Red Fern Grows,1974,6.9,"2,905"
46233,El Camino Christmas,2017,5.7,"6,797"
46234,The Infiltrators,2019,5.6,153
46235,The Cowboy Way,1994,6.0,"7,568"
46236,A Sound of Thunder,2005,4.2,"18,552"
46237,Date and Switch,2014,5.7,"7,566"
46238,The Loss of Sexual Innocence,1999,5.4,"3,046"
46239,Down in the Valley,2005,6.4,"17,689"
46240,Control,2004,6.2,"7,077"
46241,Isabelle,2018,4.3,905
46242,Woman on Top,2000,5.3,"9,841"
46243,The Hunting Party,1971,6.3,"2,436"
46244,Terror Firmer,1999,6.2,"4,782"
46245,Senseless,1998,6.1,"13,778"
46246,An Unmarried Woman,1978,7.1,"4,362"
46247,Gone Fishin',1997,4.9,"9,254"
46248,Bloodsucking Bastards,2015,5.7,"5,159"
46249,The Mighty,1998,7.3,"12,094"
46250,Caged No More,2016,5.5,370
46251,Vehicle 19,2013,4.9,"14,327"
46252,White Snake,2019,7.0,"1,922"
46253,Avenging Angel,1985,4.9,"1,202"
46254,Vanishing on 7th Street,2010,4.9,"24,563"
46255,The Manhattan Project,1986,6.2,"5,272"
46256,Exists,2014,5.2,"7,989"
46257,Replicant,2001,5.4,"13,408"
46258,Diablo,2015,4.5,"4,554"
46259,Hunk,1987,4.7,"1,218"
46260,Locked Alone,2018,2.5,21
46261,Deathsport,1978,4.1,"1,446"
46262,Blackboard Jungle,1955,7.4,"7,894"
46263,Polyester,1981,7.0,"6,832"
46264,McQ,1974,6.3,"4,568"
46265,In the Company of Men,1997,7.2,"12,816"
46266,The People I've Slept With,2012,4.8,662
46267,The Hound of the Baskervilles,1939,7.5,"9,099"
46268,Thumbsucker,2005,6.6,"20,413"
46269,Mother's Day,1980,5.4,"4,164"
46270,The Jungle Book,1942,6.7,"3,654"
46271,The Real Blonde,1997,6.0,"3,791"
46272,Girls! Girls! Girls!,1962,5.7,"2,615"
46273,Rugrats in Paris: The Movie,2000,6.1,"10,856"
46274,The Last Supper,1995,6.7,"13,878"
46275,Flash of Genius,2008,7.0,"16,279"
46276,Austin Found,2017,5.3,654
46277,Half Light,2006,6.0,"13,044"
46278,"Fear, Inc.",2016,5.6,"4,357"
46279,Von Ryan's Express,1965,7.1,"12,326"
46280,Johnny Suede,1991,5.8,"3,614"
46281,Cattle Annie and Little Britches,1981,6.1,527
46282,A Glimpse Inside the Mind of Charles Swan III,2012,4.8,"4,882"
46283,Ninotchka,1939,7.9,"18,221"
46284,The Lady Eve,1941,7.8,"18,311"
46285,The Hanging Tree,1959,7.1,"3,489"
46286,Gun Crazy,1950,7.6,"10,950"
46287,Ashley,2013,5.4,843
46288,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,6.5,"2,826"
46289,White Zombie,1932,6.3,"8,913"
46290,Never Cry Wolf,1983,7.5,"7,457"
46291,The Fountainhead,1949,7.1,"9,008"
46292,Honey 2,2011,5.3,"6,753"
46293,My Little Pony: Equestria Girls,2013,6.1,"4,606"
46294,Just Before Dawn,1981,6.2,"4,905"
46295,Red 11,2019,5.9,90
46296,The River,1984,6.3,"6,155"
46297,The Marrying Man,1991,5.8,"5,033"
46298,Soldiers,2014,7.4,"1,776"
46299,The Naked Kiss,1964,7.3,"6,600"
46300,Bad Kids of Crestview Academy,2017,5.4,"1,950"
46301,Rudderless,2014,7.5,"17,131"
46302,Copenhagen,2014,7.1,"11,835"
46303,Dirty Mary Crazy Larry,1974,6.7,"6,017"
46304,American Dreamz,2006,5.4,"24,042"
46305,6 Bullets,2012,6.1,"13,686"
46306,Melinda and Melinda,2004,6.4,"30,537"
46307,Poultrygeist: Night of the Chicken Dead,2006,6.1,"7,554"
46308,D-Day: Battle of Omaha Beach,2019,4.6,614
46309,Lila & Eve,2015,5.8,"7,628"
46310,Revenge of the Nerds II: Nerds in Paradise,1987,5.1,"13,022"
46311,About Alex,2014,6.4,"6,913"
46312,Kafka,1991,6.9,"9,306"
46313,Hello Again,2017,5.1,367
46314,The Preacher's Wife,1996,5.6,"10,653"
46315,That Darn Cat,1997,4.7,"3,977"
46316,Recess: School's Out,2001,6.6,"9,139"
46317,Happy Endings,2005,6.3,"8,834"
46318,Hunt the Man Down,1950,6.4,512
46319,Brown Sugar,2002,6.5,"8,253"
46320,Skin Trade,2014,5.6,"7,335"
46321,Possession,2002,6.3,"12,614"
46322,Cypher,2002,6.8,"29,687"
46323,Kiss Me Kate,1953,7.1,"5,385"
46324,McBain,1991,4.8,"1,575"
46325,Hollywood Ending,2002,6.6,"25,310"
46326,Save Me,1994,3.8,606
46327,The Brothers McMullen,1995,6.6,"7,209"
46328,Texasville,1990,6.0,"2,396"
46329,Run Ronnie Run,2002,6.3,"5,261"
46330,Sometimes a Great Notion,1971,7.0,"3,417"
46331,The Legacy,1978,5.7,"2,424"
46332,Miami Connection,1987,5.8,"4,501"
46333,Slugs,1988,5.2,"4,023"
46334,Miles Ahead,2015,6.4,"9,025"
46335,Night of the Demons 2,1994,6.0,"4,758"
46336,The Ticket,2016,5.3,"2,526"
46337,California Suite,1978,6.2,"6,290"
46338,Killshot,2008,6.0,"20,219"
46339,Horizons West,1952,6.2,761
46340,Night Passage,1957,6.7,"3,393"
46341,Good Deeds,2012,5.5,"7,275"
46342,The Key to Sex,1999,4.8,402
46343,Sssssss,1973,5.4,"3,183"
46344,Firstborn,1984,6.3,"2,103"
46345,X: The Man with the X-Ray Eyes,1963,6.7,"5,891"
46346,The Thrill of It All,1963,7.0,"4,607"
46347,Maria Full of Grace,2004,7.4,"33,517"
46348,Cadence,1990,6.5,"5,147"
46349,Restoration,1995,6.6,"8,712"
46350,Birth of the Dragon,2016,5.5,"6,908"
46351,Doogal,2006,2.8,"4,515"
46352,Moll Flanders,1996,6.5,"3,912"
46353,Above Ground,2017,4.1,574
46354,Avenged,2013,5.5,"3,260"
46355,To Hell and Back,1955,7.2,"4,730"
46356,Night Tide,1961,6.4,"2,401"
46357,The Frog Prince,1988,6.6,636
46358,Mi vida loca,1993,6.5,"1,911"
46359,A Force of One,1979,5.2,"3,258"
46360,Fourteen,2019,7.0,259
46361,Semi-Tough,1977,5.9,"2,556"
46362,Give Me Liberty,2019,6.6,"1,288"
46363,Sun Dogs,2017,6.2,"1,560"
46364,A Midnight Clear,1992,7.1,"8,034"
46365,Something in the Woods,2015,3.9,371
46366,The Imagemaker,1986,5.3,106
46367,Last of the Dogmen,1995,7.0,"4,787"
46368,Heartthrob,2017,5.5,"2,219"
46369,Connie and Carla,2004,6.3,"7,801"
46370,Aftershock,2012,4.8,"10,973"
46371,247°F,2011,4.9,"5,437"
46372,The Curse,1987,5.1,"2,623"
46373,Che: Part Two,2008,6.9,"31,650"
46374,House Party 2,1991,5.3,"5,882"
46375,Evil Little Things,2019,3.0,115
46376,Walt Before Mickey,2015,5.9,"5,592"
46377,How to Eat Fried Worms,2006,5.3,"5,031"
46378,The Perfect Summer,2013,5.3,326
46379,In the Army Now,1994,5.0,"12,469"
46380,The Awful Truth,1937,7.7,"16,978"
46381,The Man Who Never Was,1956,7.4,"4,316"
46382,A Simple Wish,1997,5.4,"5,051"
46383,The Outsider,2019,5.6,"1,325"
46384,Don Verdean,2015,5.4,"4,687"
46385,The Red Badge of Courage,1951,7.2,"3,918"
46386,Fletch Lives,1989,6.1,"19,113"
46387,Nightmare Alley,1947,7.8,"6,983"
46388,Stealing Home,1988,6.7,"3,989"
46389,Crimewave,1985,5.7,"4,990"
46390,The Brother from Another Planet,1984,6.7,"5,340"
46391,Where the Money Is,2000,6.2,"5,526"
46392,Man Without a Star,1955,6.9,"2,841"
46393,Advantageous,2015,6.2,"4,387"
46394,Phoenix Forgotten,2017,5.3,"5,305"
46395,Straight Time,1978,7.4,"7,276"
46396,Haunted,1995,6.2,"6,033"
46397,Rampage,1987,6.2,"1,895"
46398,Lullaby,2014,6.2,"2,501"
46399,The Climb,2019,7.0,379
46400,How to Deal,2003,5.6,"9,100"
46401,Taking Care of Business,1990,6.5,"7,637"
46402,Wagon Master,1950,7.1,"4,066"
46403,American Beach House,2015,2.3,863
46404,Hawaii,1966,6.6,"2,592"
46405,3 Ninjas: Knuckle Up,1993,4.3,"5,200"
46406,Brannigan,1975,6.2,"4,897"
46407,The Witch in the Window,2018,5.7,"3,213"
46408,Diane,2018,6.7,"1,115"
46409,Female Fight Squad,2016,4.2,"1,019"
46410,Bundy,2002,5.8,"7,106"
