,title,year,rating,votes
344,MacGruber,2010,5.5,"41,509"
345,Extremely Loud & Incredibly Close,2011,6.9,"96,048"
346,Appaloosa,2008,6.7,"57,364"
347,Shanghai Noon,2000,6.6,"116,656"
348,Baby Boy,2001,6.4,"12,485"
349,The Blob,1958,6.4,"21,982"
350,The Man Who Laughs,1928,7.7,"5,578"
351,Semi-Pro,2008,5.8,"76,985"
352,Gilda,1946,7.7,"26,768"
353,Silver Streak,1976,6.9,"17,263"
354,88 Minutes,2007,5.9,"73,262"
355,King Solomon's Mines,1985,5.3,"12,148"
356,Like Mike,2002,5.3,"18,442"
357,The Bonfire of the Vanities,1990,5.6,"21,091"
358,Heaven Can Wait,1978,6.9,"17,852"
359,A Midsummer Night's Dream,1999,6.4,"23,963"
360,Arctic Dogs,2019,4.6,"1,073"
361,Ice Age: Dawn of the Dinosaurs,2009,6.9,"216,737"
362,The Sisterhood of the Traveling Pants 2,2008,6.2,"26,456"
363,A Star Is Born,1954,7.6,"15,176"
364,The Cobbler,2014,5.8,"50,658"
365,Relic,2020,6.8,144
366,My Name Is Khan,2010,8.0,"95,567"
367,Balls of Fury,2007,5.3,"40,021"
368,I Will Make You Mine,2020,5.3,119
369,Powder,1995,6.6,"27,928"
370,Night on Earth,1991,7.8,"53,368"
371,The Animal Kingdom,1932,6.4,940
372,Palm Swings,2019,4.5,640
373,Dead Heat,1988,6.1,"6,386"
374,Down to You,2000,5.0,"14,092"
375,The Double,2011,5.9,"28,093"
376,Nell,1994,6.5,"26,639"
377,Night Walk,2019,6.7,58
378,Rachel Getting Married,2008,6.7,"46,574"
379,Runaway Bride,1999,5.5,"90,574"
380,Kinsey,2004,7.0,"46,828"
381,Bounce,2000,5.7,"19,730"
382,Hercules,1983,4.0,"3,393"
383,Purity Falls,2019,4.8,308
384,Dark Blue,2002,6.6,"20,081"
385,"Alice, Sweet Alice",1976,6.5,"8,936"
386,Wristcutters: A Love Story,2006,7.3,"52,765"
387,The Man Who Would Be King,1975,7.8,"42,737"
388,Fur: An Imaginary Portrait of Diane Arbus,2006,6.5,"14,978"
389,Bird on a Wire,1990,6.0,"38,792"
390,Devil in a Blue Dress,1995,6.7,"16,870"
391,In Darkness,2018,5.8,"11,442"
392,Sinbad and the Eye of the Tiger,1977,6.4,"6,655"
393,Screamers,1995,6.4,"24,380"
394,Suspicion,1941,7.4,"31,077"
395,Assassin 33 A.D.,2020,3.7,920
396,Armed Response,2017,3.7,"2,111"
397,Extinction,2015,5.8,"15,496"
398,Sweet Smell of Success,1957,8.1,"26,761"
399,Joe Kidd,1972,6.5,"16,100"
400,The World According to Garp,1982,7.2,"24,328"
401,The Haunting of Sharon Tate,2019,2.8,"3,052"
402,Lone Wolf McQuade,1983,6.4,"10,455"
403,Airport '77,1977,5.7,"9,261"
404,Black Knight,2001,4.9,"37,190"
405,To Be or Not to Be,1942,8.2,"26,115"
406,Ride with the Devil,1999,6.7,"12,709"
407,Bilal: A New Breed of Hero,2015,7.9,"16,947"
408,Smurfs: The Lost Village,2017,6.0,"17,465"
409,The Fantastic Four,1994,3.8,"4,816"
410,Nothing in Common,1986,5.9,"6,238"
411,Alien Nation,1988,6.3,"13,786"
412,Ecstasy,2017,4.0,281
413,Hours,2013,6.4,"27,556"
414,Alone in the Dark,1982,6.1,"4,389"
415,Foxfire,1996,6.2,"8,374"
416,Closed Circuit,2013,6.2,"21,087"
417,Bad Santa,2003,7.0,"131,291"
418,Stranger Than Paradise,1984,7.5,"33,376"
419,Mark Felt: The Man Who Brought Down the White House,2017,6.4,"11,177"
420,Dragon: The Bruce Lee Story,1993,7.0,"26,638"
421,Danny Collins,2015,7.0,"29,247"
422,Above the Law,1988,6.0,"27,769"
423,Junebug,2005,6.9,"21,865"
424,Exorcist II: The Heretic,1977,3.8,"21,079"
425,My Girl 2,1994,5.3,"17,895"
426,They Came Together,2014,5.5,"20,658"
427,The Pink Panther Strikes Again,1976,7.2,"26,987"
428,Rosewood,1997,7.2,"7,217"
429,River of No Return,1954,6.6,"10,104"
430,Trade,2007,7.4,"16,527"
431,She-Devil,1989,5.6,"15,703"
432,House Party,1990,6.4,"12,685"
433,Eros,2004,6.0,"6,016"
434,Batman and Harley Quinn,2017,5.9,"10,767"
435,Halloween: Resurrection,2002,4.0,"36,190"
436,Stallion Road,1947,6.0,205
437,The Vatican Tapes,2015,4.8,"14,170"
438,Blood Ties,2013,6.5,"18,547"
439,Foul Play,1978,6.8,"13,056"
440,Chaos Theory,2008,6.7,"31,129"
441,Cowboy Bebop: The Movie,2001,7.9,"41,496"
442,Alvin and the Chipmunks: Chipwrecked,2011,4.3,"30,253"
443,From Prada to Nada,2011,5.5,"14,026"
444,An Evening with Beverly Luff Linn,2018,5.7,"3,281"
445,Eve's Bayou,1997,7.3,"8,302"
446,Handsome: A Netflix Mystery Movie,2017,5.2,"3,634"
447,Police Academy 5: Assignment: Miami Beach,1988,4.7,"31,860"
448,Life of Crime,2013,5.8,"16,784"
449,Dance with Me,1998,5.8,"5,694"
450,The Bravados,1958,7.0,"4,622"
451,The Sugarland Express,1974,6.8,"14,821"
452,How to Marry a Millionaire,1953,6.9,"19,858"
453,The Matchmaker's Playbook,2018,6.4,"1,049"
454,Beyond the Lights,2014,6.9,"14,801"
455,Exorcist: The Beginning,2004,5.2,"32,726"
456,Grand Prix,1966,7.2,"7,782"
457,Beauty Shop,2005,5.5,"15,903"
458,The Short History of the Long Road,2019,7.0,126
459,Nine Days,2020,7.5,159
460,Suburban Gothic,2014,5.5,"3,558"
461,Max Keeble's Big Move,2001,5.4,"7,215"
462,Ricochet,1991,6.2,"15,554"
463,Rage,2014,5.0,"22,908"
464,Hollywood Dirt,2017,6.2,925
465,Hamlet,1990,6.7,"20,856"
466,Thick as Thieves,2009,6.0,"32,836"
467,The Invisible,2007,6.2,"34,313"
468,All of Me,1984,6.6,"16,009"
469,Slacker,1990,7.1,"19,165"
470,Of Love and Shadows,1994,5.1,"1,869"
471,Zola,2020,6.3,126
472,Felon,2008,7.4,"73,953"
473,Digging for Fire,2015,5.8,"5,458"
474,The Sand,2015,3.8,"3,396"
475,By Your Leave,1934,5.7,153
476,Bridget Jones: The Edge of Reason,2004,6.0,"102,371"
477,Shadow of the Thin Man,1941,7.3,"5,177"
478,Jenny's Wedding,2015,5.5,"10,144"
479,Slaughterhouse-Five,1972,6.9,"11,821"
480,M. Butterfly,1993,6.8,"8,396"
481,Always a Bridesmaid,2019,5.5,386
482,Edtv,1999,6.1,"40,692"
483,Supernova,2000,4.9,"16,793"
484,Someone Like You,2001,6.1,"22,962"
485,The Hotel New Hampshire,1984,6.0,"7,619"
486,Greedy,1994,6.3,"12,553"
487,The Protector,2005,7.1,"34,546"
488,Prom,2011,5.4,"14,637"
489,A Night in the Life of Jimmy Reardon,1988,5.6,"2,510"
490,Mope,2019,5.7,172
491,The Pink Panther 2,2009,5.6,"41,356"
492,Nothing to Lose,1997,6.7,"42,875"
493,Husbands,1970,7.4,"4,941"
494,Deception,2008,6.1,"37,146"
495,Rendition,2007,6.8,"53,439"
496,Dead Water,2019,3.3,475
497,Agent Jade Black,2020,1.7,157
498,The Heartbreak Kid,1972,6.9,"3,800"
499,Tragedy Girls,2017,6.0,"8,062"
500,My All-American,2015,7.1,"5,667"
501,The Children Act,2017,6.7,"9,803"
502,The Family That Preys,2008,5.7,"6,669"
503,JT LeRoy,2018,5.3,"1,538"
504,Proof,2005,6.7,"42,376"
505,Holy Smoke,1999,5.9,"13,694"
506,The Nun's Story,1959,7.6,"9,041"
507,Necronomicon: Book of Dead,1993,5.8,"5,395"
508,The Killers,1946,7.8,"18,292"
509,Birdy,1984,7.3,"20,749"
510,Dunston Checks In,1996,5.4,"11,623"
511,Babes in Toyland,1961,6.3,"3,284"
512,Blacula,1972,5.7,"5,595"
513,Return of the Living Dead II,1988,5.8,"17,733"
514,Night Falls on Manhattan,1996,6.6,"6,185"
515,10 to Midnight,1983,6.3,"6,328"
516,Butterfly,1982,4.7,"1,170"
517,Valentino,1977,6.1,"1,608"
518,Joshy,2016,5.9,"3,678"
519,Anna and the King,1999,6.7,"35,098"
520,Bulworth,1998,6.8,"24,254"
521,Shelter,2014,6.5,"4,242"
522,Allan Quatermain and the Lost City of Gold,1986,4.6,"8,576"
523,Birth,2004,6.1,"34,005"
524,Blood and Chocolate,2007,5.5,"16,985"
525,Bullet for a Badman,1964,6.4,635
526,Duel at Diablo,1966,6.6,"2,840"
527,Early Man,2018,6.1,"18,236"
528,The Nut Job,2014,5.7,"25,792"
529,The Day of the Locust,1975,7.1,"4,970"
530,Inherit the Wind,1960,8.1,"26,283"
531,Sahara,1983,5.0,"1,349"
532,A Thousand Words,2012,5.9,"38,632"
533,Highlander: Endgame,2000,4.6,"19,011"
534,Get on the Bus,1996,6.7,"4,902"
535,The Competition,1980,6.6,"1,774"
536,Conviction,2010,7.2,"41,301"
537,Stomp the Yard,2007,5.4,"21,497"
538,The Secret of Kells,2009,7.6,"30,067"
539,S.O.B.,1981,6.4,"5,284"
540,Ladder 49,2004,6.5,"54,091"
541,Inconceivable,2017,5.2,"7,703"
542,Fuzz,1972,5.5,"1,502"
543,A Guide to Recognizing Your Saints,2006,7.0,"24,576"
544,The Comedian,2016,5.7,"6,507"
545,Back Fork,2019,5.8,279
546,All the King's Men,2006,6.2,"23,249"
547,Citizen Toxie: The Toxic Avenger IV,2000,6.2,"5,043"
548,The Brave,1997,6.3,"8,974"
549,The Country Bears,2002,4.1,"4,915"
550,Love and Death,1975,7.7,"34,854"
551,On Deadly Ground,1994,4.6,"21,640"
552,Madeline's Madeline,2018,6.4,"3,169"
553,My Stepmother Is an Alien,1988,5.3,"24,402"
554,Airport 1975,1974,5.7,"9,240"
555,Ride Lonesome,1959,7.2,"4,359"
556,Cutting Class,1989,4.4,"4,347"
557,A Stolen Life,1946,7.3,"3,017"
558,Delirious,1991,5.9,"7,517"
559,Father's Day,2011,5.9,"2,638"
560,Howling II: ... Your Sister Is a Werewolf,1985,3.6,"6,136"
561,Top Hat,1935,7.7,"16,751"
562,Death to Smoochy,2002,6.4,"38,177"
563,Gloria,1980,7.1,"8,044"
564,Ishtar,1987,4.4,"10,023"
565,"Corrina, Corrina",1994,6.6,"11,955"
566,Doom Asylum,1988,4.5,"1,042"
567,Witchfinder General,1968,6.8,"8,715"
568,Cabin Boy,1994,5.4,"7,975"
569,Suicide Kings,1997,6.9,"25,605"
570,Major Dundee,1965,6.7,"6,844"
571,Hell Baby,2013,4.9,"8,734"
572,Rapid Fire,1992,6.3,"8,055"
573,Mob Town,2019,4.3,330
574,King Kong vs. Godzilla,1962,5.9,"8,044"
575,The Muppets Take Manhattan,1984,6.9,"18,855"
576,UFO,2018,6.2,"8,518"
577,3 Ninjas Kick Back,1994,4.6,"8,243"
578,Carbon Copy,1981,5.7,"2,433"
579,Wer,2013,5.9,"7,639"
580,Hell to Eternity,1960,7.0,"1,025"
581,Sex and the Single Girl,1964,6.5,"3,434"
582,Wild Bill,1995,5.9,"6,301"
583,Bordertown,2007,6.1,"9,936"
584,Out of Blue,2018,4.8,"1,296"
585,Riot,2015,5.1,"2,544"
586,You Might Be the Killer,2018,5.9,"3,849"
587,The War,1994,6.8,"11,797"
588,4 for Texas,1963,5.6,"2,943"
589,One Night Stand,1997,5.8,"6,456"
590,Barbershop: The Next Cut,2016,5.9,"13,954"
591,The Dawn,2019,5.0,"1,524"
592,Only Angels Have Wings,1939,7.7,"11,967"
593,The Adderall Diaries,2015,5.2,"3,933"
594,Camelot,1967,6.6,"5,734"
595,Canadian Bacon,1995,6.0,"15,734"
596,The Adventures of Pinocchio,1996,5.2,"5,208"
